movie_id,person_id,name,department,job,gender
135397,1463786,Keith Patrick Turner,Visual Effects,Animation,0
135397,1645398,Michael Galbraith,Visual Effects,Animation,0
135397,1463565,Mark Mancewicz,Visual Effects,Creature Design,0
135397,1463594,Ariele Podreider Lenzi,Visual Effects,Creature Design,0
135397,13115,Sean House,Visual Effects,Modeling,0
135397,1407702,Allan B. Holt,Visual Effects,Modeling,0
135397,1463310,Jeff Frost,Visual Effects,Modeling,0
135397,1463474,Todd D'Amario,Visual Effects,Modeling,0
135397,1463505,Neal Halter,Visual Effects,Modeling,0
135397,1463513,Peggy Hrastar,Visual Effects,Modeling,0
135397,1463561,Ting Lo,Visual Effects,Modeling,0
135397,1463562,Ting Lo,Visual Effects,Modeling,0
135397,1463619,Jubinville Steve,Visual Effects,Modeling,0
135397,1463628,Jeff Tetzlaff,Visual Effects,Modeling,0
135397,1463437,Michael Amato,Visual Effects,VFX Artist,0
135397,1463447,Jeffrey Benedict,Visual Effects,VFX Artist,0
135397,1463470,Jacqueline Cooper,Visual Effects,VFX Artist,0
135397,1463512,Ryan Hopkins,Visual Effects,VFX Artist,0
135397,1463601,Loren Robinson,Visual Effects,VFX Artist,0
135397,1463607,Yandri Sanchez,Visual Effects,VFX Artist,0
135397,1463615,Paul Sharpe,Visual Effects,VFX Artist,0
135397,1463649,Tim Yang,Visual Effects,VFX Artist,0
135397,1463489,Alexis Forni,Visual Effects,VFX Production Coordinator,0
135397,1463498,Sheila Giroux,Visual Effects,VFX Production Coordinator,0
135397,1463515,Chad Hudson,Visual Effects,VFX Production Coordinator,0
135397,1463517,Flannery Huntley,Visual Effects,VFX Production Coordinator,0
135397,1463632,Mark Trowbridge,Visual Effects,VFX Production Coordinator,0
135397,1463653,Pearlyn Yeo,Visual Effects,VFX Production Coordinator,0
135397,7727,Phil Tippett,Visual Effects,Visual Effects,2
135397,1463435,Laura Aldridge,Visual Effects,Visual Effects,0
135397,1463440,Alex Aponte,Visual Effects,Visual Effects,0
135397,1463568,Mike Marcuzzi,Visual Effects,Visual Effects,0
135397,1463577,Chris F. Moore,Visual Effects,Visual Effects,0
135397,1463611,Roman Schmidt,Visual Effects,Visual Effects,0
135397,1386913,Greg Maloney,Visual Effects,Visual Effects Producer,0
135397,1400403,Shawn Walsh,Visual Effects,Visual Effects Producer,0
135397,1444958,Justin Gladden,Visual Effects,Visual Effects Producer,0
135397,11300,Tim Alexander,Visual Effects,Visual Effects Supervisor,0
135397,1388872,Katherine Rodtsbrooks,Visual Effects,Visual Effects Supervisor,0
135397,4782,Michael Crichton,Writing,Characters,2
135397,67802,Rick Jaffa,Writing,Screenplay,2
135397,67803,Amanda Silver,Writing,Screenplay,1
135397,930707,Colin Trevorrow,Writing,Screenplay,2
135397,1020013,Derek Connolly,Writing,Screenplay,2
135397,67802,Rick Jaffa,Writing,Story,2
135397,67803,Amanda Silver,Writing,Story,1
135397,111893,John Coven,Writing,Storyboard,0
135397,1463300,Timothy Burgard,Writing,Storyboard,0
135397,1463304,Robert Consing,Writing,Storyboard,0
135397,1463313,Collin Grant,Writing,Storyboard,0
135397,1463323,Philip Keller,Writing,Storyboard,0
135397,1463332,David Lowery,Writing,Storyboard,0
135397,1463375,Dan Sweetman,Writing,Storyboard,0
135397,1463379,Amy Lynn Umezu,Writing,Storyboard,0
135595,1102620,Christopher Bessette,Directing,Director,0
135595,1102620,Christopher Bessette,Writing,Screenplay,0
136400,67813,Baltasar Kormákur,Directing,Director,2
136400,1473814,Samuel W. Sullivan,Directing,Script Supervisor,0
136400,7494,Sheila Jaffe,Production,Casting,1
136400,954441,Jeff Rice,Production,Co-Producer,2
136400,1554317,Brandon Grimes,Production,Co-Producer,0
136400,6890,Mark Damon,Production,Executive Producer,2
136400,9250,Jeffrey Stott,Production,Executive Producer,2
136400,1113449,Brandt Andersen,Production,Executive Producer,0
136400,1195057,Joshua Skurla,Production,Executive Producer,0
136400,1554316,Motaz M. Nabulsi,Production,Executive Producer,0
136400,17210,George Furla,Production,Producer,2
136400,17211,Randall Emmett,Production,Producer,2
136400,23485,Marc Platt,Production,Producer,2
136400,73453,Adam Siegel,Production,Producer,2
136400,96357,Norton Herrick,Production,Producer,0
136400,1105705,Ross Richie,Production,Producer,0
136400,1237644,Andrew Cosby,Production,Producer,0
136400,1195563,Steven Grant,Writing,Comic Book,0
136400,1229856,Blake Masters,Writing,Screenplay,0
136795,116805,Paul Feig,Directing,Director,2
